amount,description,date,category_id,category_name
-2425,Internet service - AT&T,2025-09-17,5,Bills & Utilities
-554.99,Best Buy - home goods,2025-09-20,3,Shopping
5581.4355083149785,Freelance payment - Small Business,2025-06-10,8,Income
-14.0,Lunch at Chipotle,2025-03-28,1,Food & Dining
-1558,Water bill - June,2024-08-06,5,Bills & Utilities
-23.95,Snacks at Shell,2024-01-18,1,Food & Dining
-457.99,Amazon purchase - books,2024-10-08,3,Shopping
5948.978955011371,Investment dividend,2024-05-20,8,Income
-28.65566347024931,Metro card reload,2024-12-27,2,Transportation
-407.99,Best Buy - home goods,2024-07-17,3,Shopping
-22.5,Breakfast at Morning Brew,2025-06-01,1,Food & Dining
-15.564909597817813,Metro card reload,2025-08-17,2,Transportation
-537.5130159977194,Amazon purchase - electronics 845,2025-01-31,3,Shopping
-672.99,Target - toys,2024-09-18,3,Shopping
-7.0,Breakfast at Coffee Bean,2025-07-17,1,Food & Dining
-537,Internet service - Verizon - Inc,2025-05-17,5,Bills & Utilities
-38.13545453934197,Gas at Exxon,2025-05-25,,
-81.49,Lunch at Chipotle - Fee,2024-04-12,1,Food & Dining
-2089,Water bill - March,2024-05-13,5,Bills & Utilities
-34.95,Lunch at Chipotle,2025-09-13,1,Food & Dining
-8.99,Takeout from Panera - LLC,2024-08-18,1,Food & Dining
5035.22064982247,Investment dividend,2025-05-11,8,Income
-2370,Electric bill - March,2025-07-21,5,Bills & Utilities
-11.0,Grocery shopping at Walmart,2025-01-06,1,Food & Dining
-22.0,Grocery shopping at Kroger,2024-04-14,1,Food & Dining
-890.99,Amazon purchase - toys,2025-07-26,3,Shopping
-1689,Insurance payment - health,2025-07-08,5,Bills & Utilities
-15.0,Takeout from Pizza Hut,2024-10-16,1,Food & Dining
-81.76957074689606,Video game - Call of Duty - Mobile,2024-02-05,4,Entertainment
-1423.0059528186564,Investment deposit,2024-03-05,9,Savings
-20.49,Breakfast at Morning Brew,2023-10-31,1,Food & Dining
-432.59667082573543,Dental cleaning - Inc,2025-03-18,6,Healthcare
-601.8264785798082,Pharmacy - prescription,2024-03-26,6,Healthcare
-733.3912045682324,Online order from Walmart,2025-02-03,3,Shopping
-149.99,Walmart - electronics,2024-03-06,3,Shopping
-444.99,Best Buy - toys,2024-12-11,3,Shopping
-815.99,Walmart - toys - Payment 417,2024-09-28,3,Shopping
-466.13110465853345,Online order from Home Depot,2024-06-07,3,Shopping
-36.99,Takeout from Taco Bell,2023-11-25,1,Food & Dining
-507,Insurance payment - home,2023-11-05,5,Bills & Utilities
-21.49,Breakfast at Morning Brew,2025-06-17,1,Food & Dining
-48.49,Coffee at Starbucks,2025-04-04,1,Food & Dining
-19.5,Snacks at 7-Eleven,2025-06-26,1,Food & Dining
-882.99,Amazon purchase - electronics,2024-09-01,3,Shopping
-60.85287457285353,Toll road payment,2025-03-09,2,Transportation
-56.66828280244872,Metro card reload,2025-06-27,2,Transportation
-622.0094818551772,Flight tickets - Delta,2023-12-29,7,Travel
-1023,Internet service - AT&T,2025-05-23,5,Bills & Utilities
-230.39520330097048,Dental cleaning,2024-01-29,6,Healthcare
-62.99,Grocery shopping at Trader Joe's,2025-02-22,10,Miscellaneous
-185.1100251438648,Online order from Best Buy,2025-05-19,3,Shopping
-2250,Water bill - March,2025-03-09,5,Bills & Utilities
-2108.421127783243,Rental car - Enterprise,2024-05-29,7,Travel
-110.30511071058572,Movie tickets at Alamo Drafthouse,2024-03-28,4,Entertainment
-50.09208193290927,Streaming service - Hulu,2023-12-13,4,Entertainment
-86.83790160371763,Prescription - antibiotics,2025-04-11,6,Healthcare
-1122.6132988971235,Airbnb - Miami,2024-10-18,7,Travel
-185.6174309349341,Netflix subscription,2024-08-03,4,Entertainment
-2138,Insurance payment - home,2024-11-05,5,Bills & Utilities
-290.99,Online order from Home Depot,2024-02-15,3,Shopping
-471,Electric bill - February,2025-09-21,5,Bills & Utilities
-405.99,Online order from Home Depot,2025-05-10,3,Shopping
-744.9779585619036,Emergency fund transfer,2025-08-31,9,Savings
-895,Phone bill - Verizon,2025-03-08,5,Bills & Utilities
7447.982753054856,Bonus payment,2025-06-05,8,Income
-52.779238696093664,Gas at Exxon,2025-07-18,2,Transportation
-481.3475884460468,Pharmacy - vitamins,2024-02-07,6,Healthcare
-2918.8176731632693,Flight tickets - Southwest,2024-12-14,7,Travel
-10.0,Coffee at Starbucks - Location 49,2024-07-19,1,Food & Dining
2229.378399184534,Salary deposit - Tech Corp,2023-11-28,8,Income
-453.99,Target - toys - -453.99,2024-01-30,3,Shopping
-49.99,Takeout from Subway,2024-07-30,1,Food & Dining
-1507.6965128305521,Airbnb - Chicago,2023-06-08,7,Travel
-24.5,Breakfast at Morning Brew,2024-09-10,1,Food & Dining
-128,Water bill - February,2024-04-24,5,Bills & Utilities
-287.99,Target - home goods,2025-07-08,3,Shopping
-5.941319857315719,Uber ride to hospital,2023-10-14,2,Transportation
-55.67025423414261,Uber ride to mall,2024-01-20,2,Transportation
-34.0,Takeout from Subway,2025-01-18,1,Food & Dining
-1941,Water bill - February,2024-03-17,5,Bills & Utilities
-21.99,Snacks at Circle K,2025-06-12,1,Food & Dining
-63.49,Takeout from Pizza Hut - Fee,2024-07-24,1,Food & Dining
-64.99,Grocery shopping at Target,2024-10-10,1,Food & Dining
507.97410527910023,Freelance payment - Small Business,2024-09-09,8,Income
-635.99,Target - books - Payment 473,2025-06-15,3,Shopping
-26.09231563234279,Lyft to mall,2023-11-22,2,Transportation
4565.8106755378585,Refund - Target,2024-05-26,8,Income
-1932.145910235147,Flight tickets - Southwest,2024-06-11,7,Travel
-609.9136650634575,Walmart - electronics,2023-10-04,3,Shopping
-68.938,Gas at Chevron,2025-02-24,2,Transportation
-122.00632421374341,Best Buy - toys,2024-06-26,,
51.68023992147833,Salary deposit - Local Business,2025-05-24,8,Income
-15.99,Breakfast at Coffee Bean,2024-08-02,1,Food & Dining
-522,Phone bill - AT&T,2025-09-21,5,Bills & Utilities
-186.91707627993082,Best Buy - books,2023-12-26,3,Shopping
-67.99,Takeout from Subway 872,2024-04-15,1,Food & Dining
-267,Water bill - May,2025-09-21,5,Bills & Utilities
-79.99,Breakfast at Morning Brew,2025-06-09,1,Food & Dining
-320.4768585546154,Prescription - prescription,2024-10-24,6,Healthcare
-1303,Electric bill - March,2023-10-03,5,Bills & Utilities
-16.599,Toll road payment,2025-03-02,2,Transportation
-53.521,Lyft to hospital,2024-12-21,2,Transportation
-16.702315543221065,Parking at airport,2024-06-03,2,Transportation
-1749,Electric bill - February,2025-05-27,5,Bills & Utilities
-122.33613943508873,Online order from Walmart,2024-06-05,3,Shopping
-1800.400055919993,Flight tickets - American,2024-10-30,7,Travel
-46.95,Grocery shopping at Whole Foods,2024-11-18,1,Food & Dining
-257.66075032160603,Amazon purchase - home goods,2025-08-12,3,Shopping
-79.815,Toll road payment 382,2024-09-04,2,Transportation
-1466,Insurance payment - home,2025-08-14,5,Bills & Utilities
-3371.0666126037227,Airbnb - Miami,2025-12-20,7,Travel
-246.4365987173937,Prescription - pain relief,2024-10-17,6,Healthcare
-1907,Water bill - June,2025-09-19,5,Bills & Utilities
-720.639897014429,Walmart - home goods,2025-05-01,3,Shopping
-47.62940044055968,Uber ride to airport,2025-02-26,2,Transportation
-69.99,Snacks at Shell,2025-06-07,1,Food & Dining
-185.99,Best Buy - clothing,2023-11-20,3,Shopping
-77.405,Uber ride to hospital,2025-08-30,2,Transportation
-676.8475381971186,Amazon purchase - electronics,2023-09-23,3,Shopping
-669.99,Target - clothing,2025-09-18,3,Shopping
-1095.6631531359508,Rental car - Avis,2024-07-26,7,Travel
-1126,Water bill - June,2025-09-18,5,Bills & Utilities
-56.5,Breakfast at Morning Brew,2025-06-14,1,Food & Dining
-67.95,Grocery shopping at Walmart - Corp,2024-08-02,1,Food & Dining
-598.99,Target - books,2025-07-23,3,Shopping
-30.172335237377826,Lyft to office,2024-12-30,2,Transportation
-53.5,Breakfast at Corner Cafe,2025-02-22,1,Food & Dining
-72,Phone bill - AT&T,2025-04-22,5,Bills & Utilities
-2097,Electric bill - February - -2097,2024-07-24,5,Bills & Utilities
-475.611825844622,Dental cleaning,2025-07-12,6,Healthcare
-84.95,Lunch at McDonald's,2024-09-18,1,Food & Dining
-286.99,Amazon purchase - books,2023-10-13,3,Shopping
-82.95,Lunch at Pizza Hut,2025-07-10,1,Food & Dining
-293,Insurance payment - health,2024-08-27,5,Bills & Utilities
-51.473,Lyft to mall,2024-05-26,2,Transportation
-77.95,DoorDash delivery,2024-05-28,1,Food & Dining
-2923.9209135244128,Rental car - Hertz,2024-06-23,7,Travel
-79.49,Snacks at BP,2025-04-01,1,Food & Dining
