amount,description,date,category_id,category_name
-37.506,Metro card reload,2025-06-04,2,Transportation
-38.14045226500603,Uber ride to mall,2025-05-11,2,Transportation
-216.21459003510662,Netflix subscription,2024-09-06,4,Entertainment
-122.99,Best Buy - toys - Tax,2024-06-01,3,Shopping
5356.096766661973,Bonus payment,2024-04-25,8,Income
-245.20451803892968,Movie tickets at AMC,2024-06-08,4,Entertainment
-416.4643519666307,Flight tickets - Southwest,2024-08-14,7,Travel
-153.99,Online order from Walmart - Store 13,2024-03-18,3,Shopping
-298.99,Walmart - clothing 115,2025-01-11,3,Shopping
-571,Internet service - Comcast,2024-02-19,5,Bills & Utilities
-594.99,Target - electronics,2023-11-27,3,Shopping
-84.5,Breakfast at Coffee Bean,2025-06-29,1,Food & Dining
-41.95,Dinner at Domino's,2025-03-31,1,Food & Dining
-31.95,Snacks at Circle K,2023-12-01,1,Food & Dining
-607.2606473490408,Eye exam,2023-12-04,6,Healthcare
-2181,Water bill - January,2025-06-20,5,Bills & Utilities
-90.51757059922141,Spotify Premium,2023-11-12,4,Entertainment
-1181.9508839536652,Rental car - Hertz,2024-01-22,7,Travel
-79.21674301059089,Gas at Chevron,2024-06-01,2,Transportation
-229.48919092561673,Online order from Best Buy,2024-03-14,3,Shopping
-2400,Insurance payment - life,2024-02-25,5,Bills & Utilities
-39.85912029095046,Metro card reload,2025-06-15,2,Transportation
-81.0,Dinner at Taco Bell,2025-04-23,1,Food & Dining
-39.553,Lyft to airport,2023-11-28,2,Transportation
-54.021,Metro card reload,2025-07-24,2,Transportation
-310.99,Online order from Amazon,2024-04-07,3,Shopping
-31.038119346596794,Movie tickets at AMC,2023-11-06,4,Entertainment
-57.95,Breakfast at Coffee Bean,2025-04-28,1,Food & Dining
-558.6135467405803,Amazon purchase - clothing,2024-03-20,3,Shopping
-210.99,Online order from Walmart - Credit,2024-04-24,3,Shopping
-350.99,Walmart - books,2024-04-05,3,Shopping
-1709,Electric bill - June,2024-07-29,5,Bills & Utilities
-70.85362334364842,Toll road payment,2024-11-11,2,Transportation
-69.99,Amazon purchase - toys,2024-06-04,3,Shopping
-1905,Internet service - Verizon,2023-10-30,5,Bills & Utilities
-951.4552090080418,Savings account transfer,2024-03-31,9,Savings
-864.99,Best Buy - toys,2024-07-11,3,Shopping
-770.5045908140343,Prescription - antibiotics,2025-03-14,6,Healthcare
5690.161871491275,Investment dividend,2023-10-07,8,Income
-697.99,Best Buy - electronics - Fee,2023-11-26,3,Shopping
-535.1423266186868,Best Buy - home goods,2023-10-04,3,Shopping
-2139,Electric bill - February - Online,2025-09-17,5,Bills & Utilities
-293.0946497683556,Streaming service - Hulu - -293.0946497683556,2023-11-20,4,Entertainment
-481.99,Amazon purchase - toys,2024-10-30,3,Shopping
-511.9028708788323,Prescription - pain relief,2024-07-16,6,Healthcare
-54.35,Toll road payment,2024-02-08,2,Transportation
-42.95,Breakfast at Morning Brew,2024-01-26,1,Food & Dining
-1279.441840718172,Retirement contribution,2025-05-02,9,Savings
-866.99,Online order from Amazon,2024-08-12,3,Shopping
-1564,Insurance payment - home - Mobile,2025-04-04,5,Bills & Utilities
-78.247,Metro card reload,2025-04-14,2,Transportation
-912,Phone bill - AT&T,2025-09-17,5,Bills & Utilities
-563.9148247117603,Hotel booking - Chicago,2024-12-06,7,Travel
-708.0990415950009,Hotel booking - Chicago,2024-07-11,7,Travel
-44.99544879921868,Toll road payment,2025-09-06,2,Transportation
-719.5124177901225,Target - clothing,2024-10-09,3,Shopping
-1845,Electric bill - February,2024-08-21,5,Bills & Utilities
-24.99,Breakfast at Corner Cafe,2025-08-14,1,Food & Dining
-3106.369904504479,Flight tickets - Southwest,2025-03-26,7,Travel
-146.38738660542882,Netflix subscription,2024-04-17,4,Entertainment
-582.3309000709706,Best Buy - clothing,2023-11-24,3,Shopping
-2316,Insurance payment - auto,2024-03-23,5,Bills & Utilities
-1067.1379408387427,Investment deposit,2024-06-26,9,Savings
-79.49,Lunch at Pizza Hut,2025-01-23,1,Food & Dining
-34.066,Parking at hospital,2024-05-03,2,Transportation
-215.96361871969253,Airbnb - Miami,2025-08-15,7,Travel
-539.0542555537139,Best Buy - home goods - Transaction 834,2025-02-06,3,Shopping
